USAID MISSION COMPETITIVE FORECAST - FY15 3rd Quarter ,,,,,,,,,,,,,,
MBIO,A&A Specialist,Award_Title,Award_Description,NAICS_Code,Total_Estimated_Cost,Implementing_Partner,Award_Type,Small_Business_SA,Fiscal_Year_of_Action,Anticipated_Award_Date,Anticipated_Solicitation_Release_Date,Award_Length,Solicitation_Number,Business_Forecast_Status_Change
Guatemala,Indyra Gonzalez,Local Community Strengthening Project targeted to different Guatemalan Municipalities,Local Communisty Strengthening Project targeted to different Guatemalan Municipalities,,$10M - $24.99M,TBD,To Be Determined (TBD),N/A,2015,9/30/15,3/30/15,5 years,,
Guatemala,Alejandra Garcia,Sustainable Economic Observatory,Sustainable Economic Observatory,,$4M - $9.99M,TBD,Cooperative Agreement,N/A,2015,7/15/15,2/15/15,5 years,,
Haiti,Yena Bernard,Retounen Lek÷l,Increase safe & equitable access to quality education for out-of-school children and youth in Haiti.,,$10M - $24.99M,TBD,Cooperative Agreement,N/A,2015,6/30/15,1/23/15,,,
Haiti,Yena Bernard,Improving Small Food Processing Opportunities,The overall purpose of Improving Small Food Processing Opportunities is to create linkages between very small cooperatives and buisnesses that may have a food security focus. The need for additional effort (outside of the development corridors to support,,,TBD,Cooperative Agreement,,2015,,,,,
Haiti,Yena Bernard,"Bring the ToTAL instructional model to an increased number of schools, teachers and students",,,$10M - $24.99M,TBD,,,2014,,,,,
Haiti,Gerard Casimir,Macro Economic Policy Reform project,,,$4M - $9.99M,TBD,,,2014,,,,,
Haiti,Gerard Casimir,Stand Alone Roads Activity (SARA),,,"$500,000 - $999,999",TBD,,,2014,,,,,
Haiti,Eleonore Xavier,Fort Liberte Hospital Improvements,"Improved emergency/trauma, and maternity facilities as well as seismic resistance.",,$1M - $3.99M,TBD,Contract,,2014,,6/15/14,,,
Haiti,Myriam Geffrard,"Civil society and media oversight of executive (anti-corruption) funds - will be used for direct awards to Haitian organizations, through APS",The objective. of this APS is to make significant strides in the advancement of civil society in its role to promote democtratic governance and oversight of national and local government,,$1M - $3.99M,TBD,Fixed Amount Award (FAA),,2014,,2/1/14,,,
Haiti,Myriam Geffrard,"Local governance funding - direct awards to Haitian organizations, through APS",USAID seeks applications to support programming to strengthen civil society organizations' capacity to identify and advocate for local development priorities and provide oversight of government activities.,,$1M - $3.99M,TBD,Fixed Amount Award (FAA),,2014,,2/1/14,,,
Haiti,Yena Bernard,"Small Grants Awards (Education Grants), PCPS Annual Program Statement","Under this APS, USAID/Haiti seeks to support local Haitian organizations and U.S. PVOs which can design, develop and execute creative, innovative activities that support early grade reading instructionin Haiti's primary grades.",,$150M - $299.99M,TBD,Fixed Amount Award (FAA),,2014,,2/1/14,,,
Honduras,TBD,Justice Sector Strengthening,Justice Sector Strengthening.,541611,$10M - $24.99M,TBD,Contract,TBD,2016,11/25/15,4/15/15,5 years,,
Honduras,Fernando Zelaya,Secondary Prevention Activity,Secondary Prevention Activity,541611,$10M - $24.99M,TBD,Contract,TBD,2016,12/16/15,4/29/15,5 years,,
Honduras,,M&E Support for Collaborative Learning & Adapting (MESCLA),Data collection and analysis support for the Mission's monitoring and evaluation of USAID/Honduras CDCS implementation and local capacity development for data collection and analysis for evaluation of development assistance.,,$10M - $24.99M,TBD,Contract,TBD,2015,12/26/15,3/16/15,5 years,,
India,Adrienne Shade,Call To Action TB (1),"Initiate a national TB Call to Action, that may be followed by state and city Calls to Action. As key activities are rolled out to states, cities and districts, USAID will help the GOI and other partners develop a roadmap, track results and develop systems and processes to overcome system and other constraints to energize TB control efforts.",541990,$4M - $9.99M,TBD,Cooperative Agreement,N/A,2015,5/1/15,11/30/15,5 years,,
India,Vandana S. Vats,Improved Decision-making Framework,Improved Decision-making Framework for Grid Integration,541690,$10M - $24.99M,TBD,Contract,N/A,2015,8/30/15,11/10/14,5 years,,
India,Mr. Sumit Dutta,Baseline Data Collection,Baseline Data Collection for Gender Based Violence Project.,541990,"$0 - $149,999",TBD,Purchase Order,N/A,2015,7/30/15,4/29/15,4-6 months,,
India,Mr. Sumit Dutta,Baseline Data Collection,Baseline Data Collection for Health Care Financing Program.,541990,"$0 - $149,999",TBD,Purchase Order,N/A,2015,5/20/15,2/19/15,4-6 months,,
India,Mr. Sumit Dutta,Baseline Data Collection,"Baseline Data Collection for Reproductive, Maternal, Neonatal, Child and Adolescent Health Program",541990,"$0 - $149,999",TBD,Purchase Order,N/A,2015,5/7/15,2/9/15,4-6 months,,
Indonesia,Helen Mintarso,USIP-1/SSTC,"Procurement mechanism to support capacity building in the National Coordination Team and line ministries involved in South-South & Triangular Cooperation (SSTC). Mechanism will focus on trainings, support for USG-GOI peer-to-peer engagement, SSTC learning and supporting trilateral pilot activities.",541990,$4M - $9.99M,TBD,Contract,N/A,2015,9/30/15,4/30/15,4 years,,
Indonesia,Helen Mintarso,Adaptasi Perubahan Iklim dan Ketangguhan (APIK) Project,"The purpose of USAID's Adaptasi Perubahan Iklim dan Ketangguhan (APIK) Project is to improve the ability of Indonesians to manage climate and disaster risk. Indonesia is highly vulnerable to both climate change and a wide range of weather-related natural disasters. Given Indonesia's economic growth and settlement patterns, disaster-related economic losses and loss of life will likely have an even larger negative impact on human development in the future, particularly for the poorest and most vulnerable. Therefore, a transformation is needed in the way climate and disaster risks are presently addressed; namely, both the public and private sectors in Indonesia must move to systematically integrate climate change adaptation (CCA) and disaster risk reduction (DRR) into their investments and planning processes.",541990,$10M - $24.99M,TBD,Contract,TBD,2015,9/30/15,4/17/15,5 years,,
Indonesia,Ikke Tristianti,National Policy Reform/Advocacy (SOROT),Support GOI national level policy reform and advaocacy actions for key terestrial and marine policy issues.,541990,$10M - $24.99M,TBD,To Be Determined (TBD),N/A,2016,3/15/16,9/30/15,3 years,RFI-SOL-497-15-00016,
Indonesia,Nadeem Yusuf,SHERA-Sustainable Higher Education Research Alliance,Helping Indonesian Higher Institution,541990,$4M - $9.99M,TBD,Contract,N/A,2016,11/15/16,10/31/15,5 years,,
Indonesia,Johanna Gardjito,Accountability Program - Anti Corruption,TBD,541990,$10M - $24.99M,TBD,Contract,TBD,2015,5/15/16,8/15/15,5 years,,
Indonesia,Johanna Gardjito,USAID/Indonesia Monitoring and Evaluation Support,External monitoring and evaluation contract that will supplement the capacity of the mission and provide unbiased expert exeternal evaluation teams.,541990,$10M - $24.99M,TBD,Contract,N/A,2015,11/25/15,2/12/15,5 years,,
Indonesia,Johanna Gardjito,Eastern Indonesia Project - GBV,TBD,541990,$4M - $9.99M,TBD,To Be Determined (TBD),TBD,2015,5/15/16,8/15/15,,,
Indonesia,Nadeem Yusuf,Workforce Development Program,This program will address existing inequities in Indonesia by helping the poor and vulnerable to participate more fully in the growing economy.,541990,$4M - $9.99M,TBD,Cooperative Agreement,TBD,2015,12/18/15,4/1/15,5 years,,
Indonesia,Nadeem Yusuf,Printing and Delivery of Leveled Reading Books,"The purpose is to print and deliver leveled reading books for early grade readers (1-4 grades) to a maximum of 11,000 schools in the PRIORITAS assisted distritcs in 7 provinces.",541990,$4M - $9.99M,TBD,Contract,N/A,2015,3/16/15,1/14/15,10-12 months,,
Indonesia,Ikke Tristianti,Indonesia Sustainable Ecosystem Advanced (SEA) Project,"Assist the Government of Indonesia to enhance conservation and sustainable use of marine resources by promoting marine protected areas, increasing fisheries productivity, food and nutrition security, and sustainable livelihood",541990,$25M - $49.99M,TBD,Contract,N/A,2015,7/6/15,12/1/14,5 years,,
Indonesia,Yulian Christanti,Maternal Child Health (MCH),New MCH Bilateral (UHC Equality monitoring),,$10M - $24.99M,TBD,To Be Determined (TBD),TBD,2015,8/30/16,1/14/16,5 years,,
Indonesia,,Partnership Pool for Adaptation,Partnership Pool for Adaptation,,$1M - $3.99M,TBD,Cooperative Agreement,N/A,2015,7/31/16,9/30/15,3 years,,
Indonesia,,Resilience and Forestry Grants,Resilience and Forestry Grants,,$1M - $3.99M,TBD,Grant,N/A,2015,5/1/16,10/1/15,3 years,,
Indonesia,Ikke Tristianti,TBD,Singature Effort,541990,$4M - $9.99M,TBD,To Be Determined (TBD),N/A,2015,10/30/15,3/31/15,3 years,,
Jamaica,Margot Francis,Combatting Corruption and Strengthening Integrity in Jamaica,To reduce threats to the environment and citizen vulnerability through increased accountability and integrity in government and society.,,$1M - $3.99M,TBD,Cooperative Agreement,N/A,2015,8/17/15,5/4/15,3 years,,
Jamaica,Claudia Molina,Climate Change Adaptation,Climate Change Initiative - Adaptation in Jamaica,541990,$4M - $9.99M,TBD,Leader with Associate Award (LWA),N/A,2015,1/18/16,8/28/15,4 years,,
Jordan,,Syria Essential Services,"Restore, repair and rehabilitate essential services such as water, electricity, sanitation and livelihoods in Syria.",,$25M - $49.99M,,To Be Determined (TBD),N/A,2016,5/17/16,10/17/16,,,
Jordan,,WRE - Water Conservation Activity,"Decreased overdrafting, increased recharge, and optimized reuse of marginal water in AG and communities.",,$25M - $49.99M,,Cooperative Agreement,N/A,2016,2/28/16,8/3/15,,,
Jordan,,WRE - Improved Water Sector Management and Governance (IWSMG),"Further Strengthen the Policies and Institutions That Underpin Accountable, Sustainable Management of Water Resources in Jordan",,$25M - $49.99M,,Contract,N/A,2015,8/17/15,4/29/15,,,
Jordan,,EDY - Pre-service Professional Development,Introduction training for newly assigned teachers in grades 4-12.,,$25M - $49.99M,,Cooperative Agreement,N/A,2015,6/15/15,2/15/15,5 years,,
Jordan,,PFH - Integrated Health Service Delivery Activity,"Increase access, use, and quality of FP/RH and MCH (in private and public sector).",,$25M - $49.99M,,Cooperative Agreement,N/A,2015,9/30/15,1/30/15,5 years,,
Jordan,,EDY - Vulnerable Youth,"4th-12th Grade, whole school intervention to improve learning environment. Includes in-service teacher training, community mobilization, social awareness. Aims to address drop-out rates & re-integration.",,$25M - $49.99M,,Contract,N/A,2015,7/15/15,3/15/15,4 years,,
Jordan,,EDY - Teaching & Community Engagement at Newly Constructed Schools,Ensure the quality of education at newly constructed schools,,$4M - $9.99M,,Contract,N/A,2016,7/15/16,4/1/16,4 years,,
Jordan,,PFH - TBD (Health Systems Strengthening),,,$25M - $49.99M,,To Be Determined (TBD),N/A,2015,5/10/16,8/31/15,,,
Kenya,Charity Igweta,"Kenya Integrated Water, Sanitation and Hygiene Program (KIWASH)","Five year Water program to promote at-scale adoption of sustainable models of WASH service delivery for a healthy, productive and resilient Kenya.",,$25M - $49.99M,TBD,Contract,N/A,2015,5/19/15,12/12/14,5 years,,
Kenya,Camille Hasha,HRH Support,Human Resources for Health systems support,,$25M - $49.99M,,Cooperative Agreement,N/A,2015,8/31/15,6/16/15,5 years,,
Lebanon,,University Scholarship Program,University scholarships to students of high financial need.,,$10M - $24.99M,,Cooperative Agreement,N/A,2015,9/30/15,2/15/15,6 years,,
Lebanon,,Monitoring and Evaluation,"Monitoring and Evaluation, Program Support and Architecture and Engineering for awards in USAID/Lebanon Mission",,$10M - $24.99M,,Contract,N/A,2015,9/30/15,3/24/15,5 years,,Change in Award Type
Lebanon,,Monitoring and Evaluation,Monitoring and Evaluation Support for awards in USAID/Lebanon Mission,,$10M - $24.99M,,Indefinite Delivery Indefinite Quantity Contract (IDIQ),N/A,2015,9/30/15,2/15/15,5 years,,
Liberia,Thomatta C. Cooper,Feeder Roads Maintenance Program (FRAMP) in Liberia,Feeder Roads Maintenance Program (FRAMP),237310,$10M - $24.99M,,Contract,N/A,2015,7/17/15,4/17/15,4 years,,
Liberia,Joshua Schramm,Liberia Accountability and Voice Initiative (LAVI),"The purpose of the Liberia Accountability and Voice Initiative (LAVI), is to strengthen multi-stakeholder partnerships to advocate for and monitor policy and accountability reforms. It contributes to the overall goal of USAID/Liberia's civil society and media interventions, which is to increase the influence of citizens and media in the governance of public goods and services, and to Development Objective 1 in USAID/Liberia's CDCS: more effective, accountable, and inclusive governance.",,$10M - $24.99M,,Contract,N/A,2015,7/30/15,2/25/15,5 years,SOL-669-15-000014,Change in Award Date
Liberia,Thomatta C. Cooper,Sustainable High Impact Infrastructure for Education and Agriculture (SHINE),"The Sustainable High Impact Infrastructure for Education and Agriculture (SHINE) activity will provide construction services for vertical infrastructure activities in support for the USAID funded projects in agriculture, higher education, economic governance and natural resource management. Key to the implementation of this construction project will include close coordination with the respective Government of Liberia (GOL) agencies or ministries and USAID funded mechanism working in the related sectors.",,$10M - $24.99M,,Contract,N/A,2015,9/30/15,5/15/15,3 years,,
Liberia,Thomatta C. Cooper,Agribusiness Activity (BLiV) in Liberia,"The Building Liberia's Value Chains Project (or BLiV) is designed to provide broad support to agricultural development and food security initiatives at the community and national levels in Liberia. The project supports forging innovative partnerships with the private sector to leverage new resources and maximize USAID's impact on its development efforts. The goal for BLiV is to expand access and use of agricultural inputs, and post-harvest handling, processing, packaging and marketing services, broadly applicable to raising incomes for Liberian small-holder farmers (SHF).",,$10M - $24.99M,,Cooperative Agreement,N/A,2015,6/30/15,4/30/15,3 years,,Combination of Changes
Liberia,Thomatta C. Cooper,Forest Incomes For Environmental Sustainability (FIFES),"The United States Agency for International Development's (USAID) mission in the Republic of Liberia (USAID/Liberia) intends to award a Cooperative Agreement to implement the ?Forest Incomes For Environmental Sustainability (FIFES) Program. The goal of FIFES is to develop key rural forest-based enterprises which provide inclusive, sustainable economic opportunities for small holders and communities that combat drivers of deforestation and biodiversity loss. The estimated period of performance is approximately five years from the effective date of the agreement. This program will be implemented jointly under the United States Government's (USG) Private Enterprise and Biodiversity Initiatives.",,$10M - $24.99M,,Cooperative Agreement,N/A,2015,8/3/15,4/16/15,3 years,,Combination of Changes
Liberia,Edward S. Lamin,Liberia Strategic Analysis (LSA),"This solicitation is designed to identify a uniquely qualified Contractor to implement a five-year Liberia Strategic Analysis project in Liberia. The selected Contractor will provide world class analytical and advisory services to USAID/Liberia's Office of Program and Project Development (PPD) and Development Objective (DO) teams in support of the Mission?s project design, performance monitoring and evaluation, and operational learning and adapting. The LSA Contractor will be required to independently manage and complete assigned assessment, analytical, learning, and knowledge mobilization/management tasks and deliverables.",,$10M - $24.99M,,Contract,N/A,2015,8/10/15,3/31/15,5 years,SOL-669-15-000017,Change in Award Date
Madagascar,Verohantan'Iaina Rabemanantsoa,Environment and Biodiversity Conservation Project in Madagascar,1 of 3 Services for a new Environment program aiming at conserving biodiversity and securing natural resources while promoting resilient livelihoods.,541990,$10M - $24.99M,TBD,To Be Determined (TBD),N/A,2016,2/8/16,5/15/15,5 years,,
Madagascar,,Collection of the Health Outcome Monitoring Survey data in the North of Madagascar.,1 of 9 Annual data collection for the Health Outcome Monitoring Survey.,541990,"$150,000 - $499,999",TBD,Contract,N/A,2015,7/31/15,3/3/15,3 years,,
Malawi,Craig Riegler,One Community Project,"This activity will be the flagship community based project that will provide both HIV prevention services, and OVC and care services at the community level. The activity will be funded through both prevention budget codes (authorized in the HIV Prevention PAD), and the OVC and Care Budget Codes (authorized through the TOGETHER PAD). It aims to increase adoption of positive sexual and healthcare-seeking behaviors and social norms among priority groups at risk for transmission. It will prioritize 6-8 high prevalence Southern districts, with special emphasis on reaching adolescents and OVCs, discordant couples, mothers, and PLHIV",541990,$25M - $49.99M,TBD,Cooperative Agreement,N/A,2015,8/5/15,2/13/15,,,
Malawi,Craig Riegler,Integrating Nutrition in Value Chains (INVC) II,Sustainably Reduce Rural Poverty and Under-Nutrition,541990,$25M - $49.99M,TBD,Contract,N/A,2016,1/10/16,4/22/15,5 years,,
Malawi,Craig Riegler,DCAFs Coordinator II,Support to the Malawi Donor Committee for Agriculture and Food Security (DCAFs),,"$150,000 - $499,999",TBD,Contract,N/A,2016,10/1/15,4/15/15,3 years,,
Malawi,Craig Riegler,Pamawa ndi a Chinyamata (PaMawa),"To increase adaptive capacity of individuals, families and communities through education and outreach",541990,$4M - $9.99M,TBD,Cooperative Agreement,N/A,2016,10/26/15,4/1/15,4 years,,
Malawi,Craig Riegler,Strengthening Agriculture and Nutrition Extension Services,Strengthening Extension and Advisory Services and Nutrition Education in the Feed the Future Focus Districts,541990,$10M - $24.99M,TBD,Cooperative Agreement,N/A,2015,7/30/15,3/10/15,5 years,,
Malawi,Craig Riegler,Performance evaluation of the BRIDGE and IMPACT programs.,This is an evaluation of the BRIDGE and IMPACT programs implemented by Johns Hopkins University and Catholic Relief Services.,541990,"$500,000 - $999,999",TBD,Contract,N/A,2015,6/1/15,2/28/15,,,
Mali,Mamadou Z. Coulibaly,Finance TA for DCA,Finance TA for DCA - Vega Mechanism,,"$0 - $149,999",TBD,Cooperative Agreement,N/A,2015,7/30/15,5/15/15,,,
Mali,Tchotcho Amouzougan,Post Conflit Emergency,Education Emergency Support Activity,,$10M - $24.99M,TBD,Contract,N/A,2015,9/30/15,5/18/15,3 years,,
Mali,Cheick O. Coulibaly,Peace & Security/ OTI follow on - Counter Violence Extremism.,Peace & Security/ OTI follow on - Counter Violence Extremism.,,$10M - $24.99M,TBD,Contract,N/A,2016,2/1/16,5/18/15,5 years,,
Mali,Cheick O. Coulibaly,Civil Society,Mali Civil Society,,$10M - $24.99M,TBD,Cooperative Agreement,N/A,2015,10/31/15,9/1/15,,,New Opportunity Not Previously Forecasted
Mali,Cheick Oumar Coulibaly,Sub National Governance / Public Financial Management Activity.,Sub National Governance / Public Financial Management Activity.,,$10M - $24.99M,TBD,Contract,N/A,2016,1/7/16,3/31/15,5 years,,
Mexico,Rodrigo Diaz,Local Capacity Development (Local Procurement),Professional Service for the purpose of assisting local recipients/contractors in developing their management and financial tools for managing funds,,"$150,000 - $499,999",TBD,Purchase Order,N/A,2015,6/1/15,1/6/15,1 year,,
Mexico,Rodrigo Diaz,Energy Assessment,Assessment for results of Energy Program Mexico,,"$150,000 - $499,999",TBD,Purchase Order,N/A,2015,6/30/15,3/15/15,4-6 months,,
Mexico,Beatriz Chinchilla,Technical Assistance to implement programs to prevent crime and violence,Crime and Violence Prevention Program II,,$10M - $24.99M,TBD,Contract,N/A,2015,9/1/15,12/10/14,5 years,,
Mexico,Maritza Saramiento,"APS for miscellaneous grants or cooperative agreements for Justice & Citizen Security and Economic Growth & Environmental. Total of $7,279,347.00 is being dedicated to this APS for FY15. Local Awards","APS for miscellaneous grants or cooperative agreements for Justice & Citizen Security and Economic Growth & Environmental. Total of $7,279,347.00 is being dedicated to this APS for FY15. Local Awards",,$4M - $9.99M,TBD,Cooperative Agreement,N/A,2015,6/30/15,12/5/14,3 years,,
Moldova,TBD,Competitiveness Enhancement through Workforce Development and Innovation (CE-WIN),"The Competitiveness Enhancement through Workforce Development and Innovation (CE-WIN) Activity will build upon the success and momentum of USAID's previous work and support the Government of Moldova's strategy of export- and investment  driven growth by focusing on: (1) increased productivity and quality; (2) expanded market linkages; and (3) improved sector-enabling environment. This new five (5) year activity will build on past achievements and add new emphases on workforce development, innovation, and industry- and country-level interventions. In addition, there will be a Sector Engagement, Enhancement, and Development (SEED) Fund to allow CE-WIN to invest in targeted activities to enhance local capacity.",,$10M - $24.99M,TBD,Contract,N/A,2015,7/15/15,3/2/15,5 years,,
Moldova,,Elections and Political Processes follow on,"The Elections and Political Processes follow on activity will build the capacity of political parties to enhance citizens ability to organize and participate in the political process, increase the engagement of outside stakeholders in shaping party platforms, and improve party structures and member participation.",,$4M - $9.99M,TBD,Cooperative Agreement,N/A,2016,2/1/16,10/3/16,4 years,,
Moldova,,Local Government Support Project follow on,"The Local Government Support Project follow on activity will help local governments improve the provision of basic services and promote energy efficiency. This assistance will facilitate decentralization, an area of focus under the AA, and build citizen confidence that democratic institutions improve the quality of life. Local governments are the most trusted government entities in Moldova, where citizens have the most influence.",,$4M - $9.99M,TBD,Contract,N/A,2016,1/4/16,8/1/16,4 years,,
Moldova,,Rule of Law follow on,"The Rule of law follow on activity will develop the capacity of institutions involved in the administration of courts and the Prosecutor Generals Office, another area highlighted under the AA. This assistance will help to improve Moldova's compliance with European standards and its ability to fight corruption. Activities also will directly combat corruption by engaging civil society, investigative media, and active citizens to monitor the court systems to provide public oversight of the reform efforts.",,$4M - $9.99M,TBD,Contract,N/A,2016,8/3/15,3/1/16,4 years,,
Moldova,,Moldova Agriculture Competitivness (MAC) Follow on,"Moldova Agriculture Competitiveness (MAC) Follow on. This activity will target market diversification for a sub-set of most competitive high value agricultural products, with significant efforts oriented towards tapping into the EU and Middle East market.",,$10M - $24.99M,TBD,Contract,N/A,2016,8/3/15,4/1/16,5 years,,
Moldova,,Moldova Business Regulatory Environment (MBRE) follow on,"The activity will focus on aspects of Deep and Comprehensive Free Trade Agreement (DCFTA) implementation where discussions with our EU and European bilateral partners has shown that USAID has comparative advantages, such as trade deregulation and strategic communications on reforms, as well as other further improvements to the business regulatory environment.",,$10M - $24.99M,TBD,Contract,N/A,2016,12/1/15,7/1/16,4 years,,
Morocco,Salya Yacoubi,Reading for Success--School-based Reading Activity,,,$10M - $24.99M,,Contract,N/A,2015,10/15/15,7/15/15,,,New Opportunity Not Previously Forecasted
Morocco,Najia Mesfioui,Civil Society Support to CSOs,"USAID will enhance CSO organizational capacity and financial integrity by improving their ability to develop sustainable financial plans, maintain transparent organizational structures and increase technical capacity for more focused advocacy or governance oversight.",,$1M - $3.99M,TBD,Grant,N/A,2015,8/11/15,5/11/15,2 years,,New Opportunity Not Previously Forecasted
Morocco,Salya Yacoubi,Reading for Success--Non-formal Education,Strength the organizational capacity of CSOs to deliver quality reading-focused programs.,,$4M - $9.99M,,Cooperative Agreement,N/A,2015,10/15/15,5/15/15,,,New Opportunity Not Previously Forecasted
Morocco,Najia Mesfioui,DG Evaluations,To conduct performance evaluation of Local Governance ended program and FORSATY on-going program.,,"$150,000 - $499,999",TBD,Contract,N/A,2015,8/11/15,5/11/15,,,New Opportunity Not Previously Forecasted
Morocco,Salya Yacoubi,"Reading for Success, small scale experimentation",,,$1M - $3.99M,TBD,Indefinite Delivery Indefinite Quantity Contract (IDIQ),N/A,2015,6/30/15,5/1/15,,,New Opportunity Not Previously Forecasted
Mozambique,Marianne Teixeira,Clinical Community Care of HIV,Clinical Community Care of HIV,,$150M - $299.99M,TBD,Cooperative Agreement,N/A,2016,3/29/16,3/26/15,5 years,,
Mozambique,Marianne Teixeira,Comprehensive Behavior Communication Project,Comprehensive Behavior Communication Project,,$10M - $24.99M,TBD,Cooperative Agreement,N/A,2016,3/1/16,9/1/15,5 years,,
Mozambique,Marianne Teixeira,Family Plan Integrated Project,Family Plan Integrated Project,,$25M - $49.99M,TBD,Cooperative Agreement,N/A,2016,9/22/16,7/14/15,5 years,,
Mozambique,Tania Conde,Early Grading Reading Program II,Early Grading Reading Program II,,$50M - $74.99M,TBD,Contract,N/A,2016,12/6/16,11/29/16,5 years,,
Mozambique,Marianne Teixeira,Key Population Planning,Key Population Planning,,$25M - $49.99M,TBD,Cooperative Agreement,N/A,2016,9/14/16,12/14/15,5 years,,
Mozambique,Marianne Teixeira,Orphans and Vulnerable Children Program,Orphans and Vulnerable Children Program,,$25M - $49.99M,TBD,Cooperative Agreement,N/A,2016,4/12/16,2/17/16,5 years,,
Mozambique,Tania Conde,Scale-up Early Grade Reading,Scale-up Early Grade Reading,,$50M - $74.99M,TBD,Contract,N/A,2015,3/15/16,4/13/15,5 years,,
Mozambique,Marianne Teixeira,Mozambique Monitoring and Evaluation Mechanism and Services,Mozambique Monitoring and Evaluation Mechanism and Services,,$25M - $49.99M,TBD,Contract,N/A,2016,12/1/15,5/1/15,5 years,,
Nepal,Ajaya Parajuli,Public Financial Management,"To support the government of Nepal to strengthen the public financial management capacity of institutions through efforts to streamline, standardize, and provide training on best practices government wide with the GON owning this responsibility by the end of the activity",,$10M - $24.99M,TBD,Contract,N/A,2015,11/20/15,3/20/15,,,
Nigeria,Nyembezi Mfune,Nigerian Monitoring and Evaluation Management Services,Monitoring and Evaluation Project,,$10M - $24.99M,,Contract,TBD,2015,9/30/15,5/15/15,,,
Nigeria,,Strengthening Delivery of Malaria Case Management,"Strengthening Delivery of Malaria Case Management: delivery of quality services for management of malaria and its complications, prevention of malaria in pregnancy, and integrated community case management.",,$75M - $149.99M,,Indefinite Delivery Indefinite Quantity Contract (IDIQ),N/A,2016,3/21/16,5/4/15,,,New Opportunity Not Previously Forecasted
Nigeria,Kingsley Ebule,Water and Sanitation and Hygiene (WASH),"The USAID/Nigeria Water Sanitation and Hygiene project provides direct support to the Water Corporations/Boards to improve and expand access to safe, affordable, sustainable and reliable water services for the urban residents of Nigeria through the implementation of various utility level reforms based on - cost reflective tariff structures; improved billing systems; customer metering and development of realistic business and investment plans.",,$1M - $3.99M,TBD,Cooperative Agreement,TBD,2015,9/30/15,4/30/15,5 years,,
Nigeria,Kingsley Ebule,USPSC Senior Agriculture and Food Security Specialist,"This is an off-shore USPSC Senior Agriculture and Food Security Specialist (SAFSS). The SAFSS will provide expert advice and services to support the USAID/Nigeria Office of Economic Growth and Environment in developing, planning, implementing, managing, and monitoring the Mission's agriculture program portfolio. The SAFSS has a leadership role in initiating actions related to strategy, project design, budgeting, implementation, monitoring, analyses, assessments, evaluations and close-out of programs, activities (projects), and/or strategic objectives and operational plans included in the broader agriculture portfolio.",541990,"$500,000 - $999,999",TBD,Personal Services Contract (PSC),TBD,2015,9/11/15,3/16/15,4 years,,
Nigeria,Alula Abera,"Reproductive, Maternal, Newborn and Child Health (RMNCH) Activity","This activity will contribute to state-level reduction in under-five and maternal mortality, and to increased capacity of health systems (public and private) to sustainably support access to primary health care. The implementing partner will work closely with and support state governments, while strengthening their capacity in developing a robust plan for the health sector annually and provide support for its implementation.",,$75M - $149.99M,TBD,To Be Determined (TBD),TBD,2015,9/30/15,4/1/15,5 years,,
Nigeria,Abdullahi Sadiq,"Annual Program Statement for Education Crisis Response: the APS was posted on 07/23/2014 and is open until July 22, 2015. However, the APS is currently put on-hold temporarily until further notice.","Expand enrollment in appropriate, protective and relevant educational options for the girls, boys, and youth that are affected by violence in Northeastern Nigeria. Two to six awards are expected to be made from this APS. One award was made already to Creative Associates.",541990,$10M - $24.99M,TBD,Cooperative Agreement,TBD,2015,7/20/15,7/23/14,3 years,,
Pakistan,Sohail Humayun,Read Pakistan,Media Campaign to support Education,,$4M - $9.99M,TBD,Contract,N/A,2015,12/31/15,6/30/15,5 years,,
Pakistan,Faisal Jawad,Financial Markets Development,Program for Economic Growth,,$10M - $24.99M,TBD,Contract,N/A,2015,5/30/15,1/12/15,5 years,,
Pakistan,Faisal Jawad,Pakistan Regional Economic Integration Activity (PREIA),USAID/Pakistan intends to procure the services of a contractor to further the development of the country's trade sector by improving Pakistan's competitiveness in international market.,,$10M - $24.99M,TBD,Contract,N/A,2015,5/29/15,2/23/15,5 years,,
Pakistan,Faisal Jawad,Small and Medium Enterprise Activity (SMEA),"USAID/Pakistan intends to procure services of a contractor to provide technical and financial assistance to develop the Country's small and Medium Enterprise sector, SMEA will support the enhancement of competitiveness of Pakistan SMEs by improving the business enabling environment, imporving Pkaistan's ranking on Doing Business Indicators, increasing access to technology, markets and finance, and building technical marketing, implementation and management services for SMEs by strengthening Business Development Service Providers. It also aims at setting up a Pakistan Challenge Fund to provide innovative and technology based solutions to development problems.",,$25M - $49.99M,TBD,Contract,N/A,2015,12/30/15,5/31/15,5 years,,Combination of Changes
Philippines,Abegail Castillo,Biodiversity Activity,,,$10M - $24.99M,TBD,To Be Determined (TBD),N/A,2015,9/30/15,9/30/15,2 years,,
